Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,24.820000,25.209999,23.010000,23.139999,22.894987,12665700
2015-02-01,23.080000,23.629999,22.760000,23.070000,22.825729,6499200
2015-03-01,23.049999,23.100000,22.000000,22.139999,21.905577,7909800
2015-04-01,22.180000,22.879999,21.959999,22.290001,22.053989,5993400
2015-05-01,22.219999,22.799999,21.799999,21.830000,21.598860,9026900
2015-06-01,21.900000,23.360001,21.700001,23.350000,23.102766,10816100
2015-07-01,23.250000,23.400000,21.330000,21.459999,21.232777,12586900
2015-08-01,21.290001,21.850000,20.330000,20.879999,20.658916,7706300
2015-09-01,20.790001,21.209999,20.530001,20.879999,20.658916,5151900
2015-10-01,20.930000,21.620001,20.760000,21.280001,21.054684,5240100
2015-11-01,21.230000,21.299999,20.209999,20.510000,20.292835,5066400
2015-12-01,20.520000,20.950001,19.940001,20.610001,20.391777,13406100
2016-01-01,20.510000,20.520000,19.670000,19.990000,19.778341,4701700
2016-02-01,20.000000,20.219999,19.549999,19.969999,19.758553,3085000
2016-03-01,19.920000,21.280001,19.840000,20.600000,20.381884,10443400
2016-04-01,20.410000,21.260000,20.049999,21.080000,20.856800,10399900
2016-05-01,21.100000,21.570000,20.750000,21.309999,21.084364,10765800
2016-06-01,21.270000,23.010000,21.219999,22.070000,21.836317,16631800
2016-07-01,22.160000,22.180000,20.420000,20.590000,20.371988,20044900
2016-08-01,20.540001,21.059999,20.160000,20.230000,20.015800,11511400
2016-09-01,20.299999,20.820000,19.950001,19.980000,19.768446,8770200
2016-10-01,19.969999,20.780001,19.860001,20.520000,20.302731,9121300
2016-11-01,20.500000,20.520000,19.920000,19.940001,19.728870,11765000
2016-12-01,19.950001,20.219999,19.620001,19.969999,19.758553,14408500
2017-01-01,20.000000,21.000000,19.950001,20.400000,20.184000,17546400
2017-02-01,20.450001,20.760000,20.100000,20.200001,19.986118,14631100
2017-03-01,20.240000,20.469999,19.580000,19.780001,19.570566,15439400
2017-04-01,19.870001,19.900000,19.160000,19.740000,19.530989,8684900
2017-05-01,19.850000,20.379999,19.730000,19.980000,19.768446,10794800
2017-06-01,19.900000,20.190001,18.930000,19.850000,19.639824,8024400
2017-07-01,20.040001,20.309999,19.530001,19.930000,19.718977,15212800
2017-08-01,19.860001,19.900000,18.330000,18.639999,18.442635,14955200
2017-09-01,18.629999,19.180000,18.580000,18.980000,18.779036,15897000
2017-10-01,18.780001,19.459999,18.770000,19.440001,19.234165,17934800
2017-11-01,19.400000,19.510000,18.910000,19.080000,18.877977,12295800
2017-12-01,19.059999,19.150000,18.180000,18.760000,18.561365,16251300
2018-01-01,18.790001,19.010000,18.450001,18.830000,18.630623,15780500
2018-02-01,18.790001,19.280001,18.750000,19.170000,18.967024,17073400
2018-03-01,19.270000,19.680000,18.590000,18.809999,18.610834,22551300
2018-04-01,18.900000,19.280001,18.320000,19.250000,19.046177,11060100
2018-05-01,19.250000,19.540001,18.650000,19.209999,19.006599,9677900
2018-06-01,19.260000,19.360001,17.709999,18.030001,17.839094,15381200
2018-07-01,17.879999,17.930000,17.230000,17.530001,17.344389,14229100
2018-08-01,17.530001,17.700001,16.840000,17.059999,16.879364,9346900
2018-09-01,16.870001,17.250000,16.809999,16.910000,16.730953,10678000
2018-10-01,16.920000,17.820000,16.920000,17.410000,17.225658,13552700
2018-11-01,17.530001,17.790001,17.020000,17.290001,17.106930,10451900
2018-12-01,17.420000,17.510000,16.719999,16.940001,16.760635,11302800
2019-01-01,16.879999,17.350000,16.879999,16.920000,16.920000,5996300
2019-02-01,16.980000,17.129999,16.440001,16.440001,16.440001,6765100
